kegg_annotation_id	name	definition	pathway	module
K12204	dotC, traI	defect in organelle trafficking protein DotC		
K12205	dotD, traH	defect in organelle trafficking protein DotD		
K12206	icmB, dotO	intracellular multiplication protein IcmB		
K12207	icmC, dotE	intracellular multiplication protein IcmC		
K12208	icmD, dotP	intracellular multiplication protein IcmD		
K12209	icmE, dotG	intracellular multiplication protein IcmE		
K12210	icmF	intracellular multiplication protein IcmF		
K12211	icmG, dotF	intracellular multiplication protein IcmG		
K12212	icmJ, dotN	intracellular multiplication protein IcmJ		
K12213	icmK, traN, dotH	intracellular multiplication protein IcmK		
K12214	icmL, traM, dotI	intracellular multiplication protein IcmL		
K12215	icmM, dotJ	intracellular multiplication protein IcmM		
K12216	icmN, lphA, dotK	intracellular multiplication protein IcmN		
K12217	icmO, trbC, dotL	intracellular multiplication protein IcmO		
K12218	icmP, trbA	intracellular multiplication protein IcmP		
K12219	icmQ	intracellular multiplication protein IcmQ		
K12221	icmS	intracellular multiplication protein IcmS		
K12222	icmT, traK	intracellular multiplication protein IcmT		
K12223	icmV	intracellular multiplication protein IcmV		
K12224	icmW	intracellular multiplication protein IcmW		
K12225	icmX	intracellular multiplication protein IcmX		
K12226	tphA	proline/betaine transport protein TphA		
K12228	trbB	TrbB protein		
K12229	DAPP1, BAM32	dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide	ko04662  B cell receptor signaling pathway	
K12230	PIK3AP1, BCAP	phosphoinositide 3-kinase adapter protein 1	ko04151  PI3K-Akt signaling pathway	
K12231	HECTD1	E3 ubiquitin-protein ligase HECTD1 [EC:2.3.2.26]		
K12232	HECTD2	E3 ubiquitin-protein ligase HECTD2 [EC:2.3.2.26]		
K12233	HECTD3	E3 ubiquitin-protein ligase HECTD3 [EC:2.3.2.26]		
K12234	cofE, fbiB	coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]	ko00680  Methane metabolism	M00378  F420 biosynthesis
K12235	SRR	serine racemase [EC:5.1.1.18]	ko00260  Glycine, serine and threonine metabolism	
K12236	NFX1	transcriptional repressor NF-X1	ko05165  Human papillomavirus infection	
K12237	vibF	nonribosomal peptide synthetase VibF	ko01053  Biosynthesis of siderophore group nonribosomal peptides	
K12238	pchD	pyochelin biosynthesis protein PchD	ko01053  Biosynthesis of siderophore group nonribosomal peptides	
K12239	pchE	dihydroaeruginoic acid synthetase	ko01053  Biosynthesis of siderophore group nonribosomal peptides	
K12240	pchF	pyochelin synthetase	ko01053  Biosynthesis of siderophore group nonribosomal peptides	
K12241	pchG	pyochelin biosynthetic protein PchG	ko01053  Biosynthesis of siderophore group nonribosomal peptides	
K12242	pchC	pyochelin biosynthetic protein PchC		
K12243	pchR	AraC family transcriptional regulator, transcriptional activator of the genes for pyochelin and ferripyochelin receptors		
K12244	GNT1	[Skp1-protein]-hydroxyproline N-acetylglucosaminyltransferase [EC:2.4.1.229]		
K12246	neuS, siaD	poly-alpha-2,8 sialosyl sialyltransferase [EC:2.4.-.-]		
K12251	aguB	N-carbamoylputrescine amidase [EC:3.5.1.53]	ko00330  Arginine and proline metabolism	
K12252	aruH	arginine:pyruvate transaminase [EC:2.6.1.84]	ko00330  Arginine and proline metabolism	
K12253	aruI	5-guanidino-2-oxopentanoate decarboxylase [EC:4.1.1.75]	ko00330  Arginine and proline metabolism	
K12254	kauB	4-guanidinobutyraldehyde dehydrogenase / NAD-dependent aldehyde dehydrogenase [EC:1.2.1.54 1.2.1.-]	ko00330  Arginine and proline metabolism	
K12255	gbuA	guanidinobutyrase [EC:3.5.3.7]	ko00330  Arginine and proline metabolism	
K12256	spuC	putrescine---pyruvate transaminase [EC:2.6.1.113]	ko00330  Arginine and proline metabolism	
K12257	secDF	SecD/SecF fusion protein	ko02024  Quorum sensing	M00335  Sec (secretion) system
K12258	GC	vitamin D-binding protein		
K12259	SMOX, PAO5	spermine oxidase [EC:1.5.3.16 1.5.3.-]	ko00330  Arginine and proline metabolism	
K12260	SRX1	sulfiredoxin [EC:1.8.98.2]		
K12261	HACL1	2-hydroxyacyl-CoA lyase 1 [EC:4.1.-.-]	ko04146  Peroxisome	
K12262	cybB	cytochrome b561		
K12263	cccB	cytochrome c551		
K12264	norV	anaerobic nitric oxide reductase flavorubredoxin	ko05132  Salmonella infection	
K12265	norW	nitric oxide reductase FlRd-NAD(+) reductase [EC:1.18.1.-]	ko05132  Salmonella infection	
K12266	norR	anaerobic nitric oxide reductase transcription regulator	ko05132  Salmonella infection	
K12267	msrAB	peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11 1.8.4.12]		
K12268	asp1	accessory secretory protein Asp1		
K12269	asp2	accessory secretory protein Asp2		
K12270	asp3	accessory secretory protein Asp3		
K12271	SRP43, CAO	signal recognition particle 43 kDa protein		
K12272	SRPRB, SRP102	signal recognition particle receptor subunit beta	ko03060  Protein export	
K12273	SEC66	translocation protein SEC66		
K12274	SEC72	translocation protein SEC72		
K12275	SEC62	translocation protein SEC62	ko03060  Protein export	
K12276	mshE	MSHA biogenesis protein MshE	ko05111  Biofilm formation - Vibrio cholerae	
K12277	mshF	MSHA biogenesis protein MshF		
K12278	mshG	MSHA biogenesis protein MshG		
K12279	mshI	MSHA biogenesis protein MshI		
K12280	mshJ	MSHA biogenesis protein MshJ		
K12281	mshK	MSHA biogenesis protein MshK		
K12282	mshL	MSHA biogenesis protein MshL		
K12283	mshM	MSHA biogenesis protein MshM		
K12284	mshN	MSHA biogenesis protein MshN		
K12285	mshO	MSHA biogenesis protein MshO		
K12286	mshP	MSHA biogenesis protein MshP		
K12287	mshQ	MSHA biogenesis protein MshQ		
K12288	hofM	pilus assembly protein HofM		
K12289	hofN	pilus assembly protein HofN		
K12290	hofO	pilus assembly protein HofO		
K12291	hofP	pilus assembly protein HofP		
K12292	comA	ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein [EC:3.4.22.-]	ko02010  ABC transporters	
K12293	comB	competence factor transport accessory protein ComB	ko02020  Two-component system	
K12294	comD	two-component system, LytTR family, sensor histidine kinase ComD [EC:2.7.13.3]	ko02020  Two-component system	M00496  ComD-ComE (competence) two-component regulatory system
K12295	comE	two-component system, LytTR family, response regulator ComE	ko02020  Two-component system	M00496  ComD-ComE (competence) two-component regulatory system
K12296	comX1_2	competence protein ComX	ko02020  Two-component system	
K12297	rlmL, rlmK	23S rRNA (guanine2445-N2)-methyltransferase / 23S rRNA (guanine2069-N7)-methyltransferase [EC:2.1.1.173 2.1.1.264]		
K12298	CEL	bile salt-stimulated lipase [EC:3.1.1.3 3.1.1.13]	ko00100  Steroid biosynthesis	M00098  Acylglycerol degradation
K12299	garP	MFS transporter, ACS family, probable galactarate transporter		
K12300	SLC17A1S	MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 1/2/3/4		
K12301	SLC17A5	MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 5	ko04142  Lysosome	
K12302	SLC17A6_7_8	MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6/7/8	ko04721  Synaptic vesicle cycle	
K12303	SLC17A9	MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 9		
K12304	CANT1	soluble calcium-activated nucleotidase 1 [EC:3.6.1.6]	ko00230  Purine metabolism	
K12305	ENTPD4, LALP70	ectonucleoside triphosphate diphosphohydrolase 4 [EC:3.6.1.6]	ko00230  Purine metabolism	
K12306	MSFD7, SLC49A4	MFS transporter, FLVCR family, MFS-domain-containing protein 7		
K12307	MSFD8, CLN7	MFS transporter, ceroid-lipofuscinosis neuronal protein 7	ko04142  Lysosome	
K12308	bgaB, lacA	beta-galactosidase [EC:3.2.1.23]	ko00052  Galactose metabolism	
K12309	GLB1, ELNR1	beta-galactosidase [EC:3.2.1.23]	ko00052  Galactose metabolism	M00079  Keratan sulfate degradation
K12310	CTBS	Di-N-acetylchitobiase [EC:3.2.1.-]		
K12311	MAN2B1, LAMAN	lysosomal alpha-mannosidase [EC:3.2.1.24]	ko00511  Other glycan degradation	
K12312	MAN2B2	epididymis-specific alpha-mannosidase [EC:3.2.1.24]	ko00511  Other glycan degradation	
K12313	ACTA2	actin, aortic smooth muscle	ko04270  Vascular smooth muscle contraction	
K12315	ACTG2	actin, gamma-enteric smooth muscle	ko04270  Vascular smooth muscle contraction	
K12316	GAA	lysosomal alpha-glucosidase [EC:3.2.1.20]	ko00052  Galactose metabolism	
K12317	GANC	neutral alpha-glucosidase C [EC:3.2.1.20]	ko00052  Galactose metabolism	
K12318	GUCY1A	guanylate cyclase soluble subunit alpha [EC:4.6.1.2]	ko00230  Purine metabolism	M00694  cGMP signaling
K12319	GUCY1B	guanylate cyclase soluble subunit beta [EC:4.6.1.2]	ko00230  Purine metabolism	M00694  cGMP signaling
K12320	GUCY2C	heat-stable enterotoxin receptor [EC:4.6.1.2]	ko00230  Purine metabolism	
K12321	GUCY2D_E	guanylate cyclase 2D/E [EC:4.6.1.2]	ko00230  Purine metabolism	
K12323	ANPRA, NPR1	atrial natriuretic peptide receptor A [EC:4.6.1.2]	ko00230  Purine metabolism	M00694  cGMP signaling
K12324	ANPRB, NPR2	atrial natriuretic peptide receptor B [EC:4.6.1.2]	ko00230  Purine metabolism	M00694  cGMP signaling
K12325	NPR3	atrial natriuretic peptide clearance receptor		
K12326	RASGRF2	Ras-specific guanine nucleotide-releasing factor 2	ko04010  MAPK signaling pathway	
K12327	CALD1	caldesmon	ko04270  Vascular smooth muscle contraction	
K12328	PPP1R14A, CPI17	protein phosphatase 1 regulatory subunit 14A	ko04270  Vascular smooth muscle contraction	
K12329	PPP1R12B, MYPT2	protein phosphatase 1 regulatory subunit 12B	ko04270  Vascular smooth muscle contraction	
K12330	ARHGEF1	Rho guanine nucleotide exchange factor 1	ko04270  Vascular smooth muscle contraction	
K12331	ARHGEF11	Rho guanine nucleotide exchange factor 11	ko04270  Vascular smooth muscle contraction	
K12332	CALCA	calcitonin		
K12333	ADM	adrenomedullin		
K12337	MRVI1, IRAG	inositol 1,4,5-triphosphate receptor-associated cGMP kinase substrate	ko04022  cGMP-PKG signaling pathway	
K12338	UGT75C1	anthocyanidin 3-O-glucoside 5-O-glucosyltransferase [EC:2.4.1.298]	ko00942  Anthocyanin biosynthesis	
K12339	cysM	cysteine synthase B [EC:2.5.1.47]	ko00270  Cysteine and methionine metabolism	M00021  Cysteine biosynthesis, serine => cysteine
K12340	tolC	outer membrane protein	ko01501  beta-Lactam resistance	M00325  alpha-Hemolysin/cyclolysin transport system
K12341	yadA	adhesin YadA	ko03070  Bacterial secretion system	
K12342	yadB_C	adhesin YadB/C	ko03070  Bacterial secretion system	
K12343	SRD5A1	3-oxo-5-alpha-steroid 4-dehydrogenase 1 [EC:1.3.1.22]	ko00140  Steroid hormone biosynthesis	
K12344	SRD5A2	3-oxo-5-alpha-steroid 4-dehydrogenase 2 [EC:1.3.1.22]	ko00140  Steroid hormone biosynthesis	
K12345	SRD5A3	3-oxo-5-alpha-steroid 4-dehydrogenase 3 [EC:1.3.1.22 1.3.1.94]	ko00140  Steroid hormone biosynthesis	
K12346	SMF	metal iron transporter		
K12347	SLC11A1, NRAMP1	natural resistance-associated macrophage protein 1	ko04142  Lysosome	
K12348	ASAH1	acid ceramidase [EC:3.5.1.23]	ko00600  Sphingolipid metabolism	M00099  Sphingosine biosynthesis
K12349	ASAH2	neutral ceramidase [EC:3.5.1.23]	ko00600  Sphingolipid metabolism	M00099  Sphingosine biosynthesis
K12350	SMPD1, ASM	sphingomyelin phosphodiesterase [EC:3.1.4.12]	ko00600  Sphingolipid metabolism	
K12351	SMPD2	sphingomyelin phosphodiesterase 2 [EC:3.1.4.12]	ko00600  Sphingolipid metabolism	
K12352	SMPD3	sphingomyelin phosphodiesterase 3 [EC:3.1.4.12]	ko00600  Sphingolipid metabolism	
K12353	SMPD4	sphingomyelin phosphodiesterase 4 [EC:3.1.4.12]	ko00600  Sphingolipid metabolism	
K12354	ENPP7	ectonucleotide pyrophosphatase/phosphodiesterase family member 7 [EC:3.1.4.12]	ko00600  Sphingolipid metabolism	
K12355	REF1	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	ko00940  Phenylpropanoid biosynthesis	
K12356	UGT72E	coniferyl-alcohol glucosyltransferase [EC:2.4.1.111]	ko00940  Phenylpropanoid biosynthesis	
K12357	NEU2_3_4	sialidase-2/3/4 [EC:3.2.1.18]	ko00511  Other glycan degradation	
K12358	FOXO4	forkhead box protein O4	ko04014  Ras signaling pathway	
K12359	CLN6	ceroid-lipofuscinosis neuronal protein 6		
K12360	CLN8	ceroid-lipofuscinosis neuronal protein 8		
K12361	RASGRP2	RAS guanyl-releasing protein 2	ko04010  MAPK signaling pathway	
K12362	RASGRP3	RAS guanyl-releasing protein 3	ko04010  MAPK signaling pathway	
K12363	RASGRP4	RAS guanyl-releasing protein 4	ko04010  MAPK signaling pathway	
K12365	PREX1	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchanger 1 protein	ko04062  Chemokine signaling pathway	
K12366	ELMO1, CED12	engulfment and cell motility protein 1	ko04062  Chemokine signaling pathway	
K12367	DOCK2	dedicator of cytokinesis protein 2	ko04062  Chemokine signaling pathway	
K12368	dppA	dipeptide transport system substrate-binding protein	ko02010  ABC transporters	M00324  Dipeptide transport system
K12369	dppB	dipeptide transport system permease protein	ko02010  ABC transporters	M00324  Dipeptide transport system
K12370	dppC	dipeptide transport system permease protein	ko02010  ABC transporters	M00324  Dipeptide transport system
K12371	dppD	dipeptide transport system ATP-binding protein	ko02010  ABC transporters	M00324  Dipeptide transport system
K12372	dppF	dipeptide transport system ATP-binding protein	ko02010  ABC transporters	M00324  Dipeptide transport system
K12373	HEXA_B	hexosaminidase [EC:3.2.1.52]	ko00511  Other glycan degradation	M00079  Keratan sulfate degradation
K12374	ARSD_F_H	arylsulfatase D/F/H [EC:3.1.6.-]		
K12375	ARSI_J	arylsulfatase I/J [EC:3.1.6.-]		
K12376	ARSK	arylsulfatase K [EC:3.1.6.-]		
K12378	TOR	tyrosine-protein kinase receptor torso [EC:2.7.10.1]	ko04013  MAPK signaling pathway - fly	
K12379	HKB	huckebein	ko04013  MAPK signaling pathway - fly	
K12380	RASA3	Ras GTPase-activating protein 3	ko04013  MAPK signaling pathway - fly	
K12381	ARSG	arylsulfatase G [EC:3.1.6.-]	ko04142  Lysosome	
K12382	PSAP, SGP1	saposin	ko04142  Lysosome	
K12383	GM2A	ganglioside GM2 activator	ko04142  Lysosome	
K12384	SCARB2, LIMP2, CD36L2	lysosome membrane protein 2	ko04142  Lysosome	
K12385	NPC1	Niemann-Pick C1 protein	ko04142  Lysosome	
K12386	CTNS	cystinosin	ko04142  Lysosome	
K12387	LAPTM	lysosomal-associated transmembrane protein	ko04142  Lysosome	
K12388	SORT1	sortilin	ko04142  Lysosome	
K12389	BTS, CLN3	battenin	ko04142  Lysosome	
K12390	CLN5	ceroid-lipofuscinosis neuronal protein 5	ko04142  Lysosome	
K12391	AP1G1	AP-1 complex subunit gamma-1	ko04142  Lysosome	
K12392	AP1B1	AP-1 complex subunit beta-1	ko04142  Lysosome	
K12393	AP1M	AP-1 complex subunit mu	ko04142  Lysosome	
K12394	AP1S1_2	AP-1 complex subunit sigma 1/2	ko04142  Lysosome	
K12395	AP1S3	AP-1 complex subunit sigma-3	ko04142  Lysosome	
K12396	AP3D	AP-3 complex subunit delta	ko04142  Lysosome	
K12397	AP3B	AP-3 complex subunit beta	ko04142  Lysosome	
K12398	AP3M	AP-3 complex subunit mu	ko04142  Lysosome	
K12399	AP3S	AP-3 complex subunit sigma	ko04142  Lysosome	
K12400	AP4E1	AP-4 complex subunit epsilon-1	ko04142  Lysosome	
K12401	AP4B1	AP-4 complex subunit beta-1	ko04142  Lysosome	
K12402	AP4M1	AP-4 complex subunit mu-1	ko04142  Lysosome	
K12403	AP4S1	AP-4 complex subunit sigma-1	ko04142  Lysosome	
K12404	GGA	ADP-ribosylation factor-binding protein GGA	ko04142  Lysosome	
K12405	HSD17B4	3-hydroxyacyl-CoA dehydrogenase / 3a,7a,12a-trihydroxy-5b-cholest-24-enoyl-CoA hydratase / enoyl-CoA hydratase 2 [EC:1.1.1.35 4.2.1.107 4.2.1.119]	ko00120  Primary bile acid biosynthesis	M00104  Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
K12406	PKLR	pyruvate kinase isozymes R/L [EC:2.7.1.40]	ko00010  Glycolysis / Gluconeogenesis	M00001  Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K12407	GCK	glucokinase [EC:2.7.1.2]	ko00010  Glycolysis / Gluconeogenesis	M00001  Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
K12408	HSD3B7	cholest-5-ene-3beta,7alpha-diol 3beta-dehydrogenase [EC:1.1.1.181]	ko00120  Primary bile acid biosynthesis	M00104  Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
K12409	GNE	bifunctional UDP-N-acetylglucosamine 2-epimerase / N-acetylmannosamine kinase [EC:3.2.1.183 2.7.1.60]	ko00520  Amino sugar and nucleotide sugar metabolism	
K12410	npdA	NAD-dependent deacetylase [EC:3.5.1.-]		
K12411	YOX1, YHP1	homeobox protein YOX1/YHP1		
K12412	MCM1	pheromone receptor transcription factor	ko04011  MAPK signaling pathway - yeast	
K12413	WHI5	G1-specific transcriptional repressor WHI5	ko04111  Cell cycle - yeast	M00692  Cell cycle - G1/S transition
K12414	TAH11	DNA replication licensing factor, required for pre-replication complex assembly	ko04111  Cell cycle - yeast	
K12415	comC	competence-stimulating peptide	ko02020  Two-component system	
K12416	SWM1, APC13	anaphase-promoting complex subunit SWM1	ko04111  Cell cycle - yeast	
K12417	ACOT11	acyl-CoA thioesteraes 11 [EC:3.1.2.-]		
K12418	DES4, des1	acyl-lipid (7-3)-desaturase (Delta-4 desaturase) [EC:1.14.19.31]		
K12419	FADS6	fatty acid desaturase 6 [EC:1.14.19.-]		
K12420	actIII, oxyJ, snoaD, aknA	ketoreductase [EC:1.1.1.-]	ko00253  Tetracycline biosynthesis	M00778  Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide
K12421	fadD9	fatty acid CoA ligase FadD9		
K12422	fadD10	long chain fatty acid CoA ligase FadD10 [EC:6.2.1.-]		
K12423	fadD21	fatty acid CoA ligase FadD21		
K12424	fadD22	4-hydroxybenzoate adenylyltransferase [EC:2.7.7.98]		
K12425	fadD23	fatty acid CoA ligase FadD23		
K12426	fadD26	long chain fatty acid CoA FadD26		
K12427	fadD28	mycocerosic acid adenylyltransferase [EC:2.7.7.95]		
K12428	fadD32	fatty acid CoA ligase FadD32		
K12429	fadD36	fatty acid CoA ligase FadD36		
K12430	pks1_15	4-hydroxyphenylalkanoate synthase [EC:2.3.1.261]		
K12431	pks2	polyketide synthase 2		
K12432	pks3_4	mycolipanoate synthase [EC:2.3.1.252]		
K12433	pks5	polyketide synthase 5		
K12434	pks7	polyketide synthase 7		
K12435	pks8	polyketide synthase 8		
K12436	pks12	polyketide synthase 12		
K12437	pks13	polyketide synthase 13		
K12439	pks17	polyketide synthase 17		
K12440	ppsA	phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase A		
K12441	ppsB	phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase B		
K12442	ppsC	phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase C		
K12443	ppsD	phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase D		
K12444	ppsE	phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase E		
K12445	K12445	trans enoyl reductase [EC:1.3.1.-]		
K12446	E2.7.1.46	L-arabinokinase [EC:2.7.1.46]	ko00520  Amino sugar and nucleotide sugar metabolism	
K12447	USP	UDP-sugar pyrophosphorylase [EC:2.7.7.64]	ko00040  Pentose and glucuronate interconversions	M00014  Glucuronate pathway (uronate pathway)
K12448	UXE, uxe	UDP-arabinose 4-epimerase [EC:5.1.3.5]	ko00520  Amino sugar and nucleotide sugar metabolism	
K12449	AXS	UDP-apiose/xylose synthase	ko00520  Amino sugar and nucleotide sugar metabolism	
K12450	RHM	UDP-glucose 4,6-dehydratase [EC:4.2.1.76]	ko00520  Amino sugar and nucleotide sugar metabolism	
K12451	UER1	3,5-epimerase/4-reductase [EC:5.1.3.- 1.1.1.-]	ko00520  Amino sugar and nucleotide sugar metabolism	
K12452	ascC, ddhC, rfbH	CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]	ko00520  Amino sugar and nucleotide sugar metabolism	
K12453	rfbS	CDP-paratose synthetase [EC:1.1.1.342]	ko00520  Amino sugar and nucleotide sugar metabolism	
K12454	rfbE	CDP-paratose 2-epimerase [EC:5.1.3.10]	ko00520  Amino sugar and nucleotide sugar metabolism	
K12456	APC13	anaphase-promoting complex subunit 13	ko04110  Cell cycle	M00389  APC/C complex
K12457	NTF4	neurotrophin 4	ko04010  MAPK signaling pathway	
K12458	ZNF274	zinc finger protein 274	ko04722  Neurotrophin signaling pathway	
K12459	SH2B1_3	SH2B adaptor protein 1/3	ko04722  Neurotrophin signaling pathway	
K12460	KIDINS220, ARMS	ankyrin repeat-rich membrane spanning protein	ko04722  Neurotrophin signaling pathway	
K12461	FRS2	fibroblast growth factor receptor substrate 2	ko04722  Neurotrophin signaling pathway	
K12462	ARHGDI, RHOGDI	Rho GDP-dissociation inhibitor	ko04722  Neurotrophin signaling pathway	
K12463	PRDM4	PR domain zinc finger protein 4	ko04722  Neurotrophin signaling pathway	
K12464	MAGED1, NRAGE	melanoma-associated antigen D1	ko04722  Neurotrophin signaling pathway	
K12465	NGFRAP1	nerve growth factor receptor-associated protein 1	ko04722  Neurotrophin signaling pathway	
K12466	E1.1.1.275	(+)-trans-carveol dehydrogenase [EC:1.1.1.275]	ko00903  Limonene and pinene degradation	
K12467	E4.2.3.15	myrcene/ocimene synthase [EC:4.2.3.15]	ko00902  Monoterpenoid biosynthesis	
K12469	EHD2	EH domain-containing protein 2	ko04144  Endocytosis	
K12470	SH3KBP1, CIN85	SH3 domain-containing kinase-binding protein 1	ko04144  Endocytosis	
K12471	EPN	epsin	ko04144  Endocytosis	
K12472	EPS15	epidermal growth factor receptor substrate 15	ko04144  Endocytosis	
K12473	LDLR	low-density lipoprotein receptor	ko04144  Endocytosis	
K12474	LDLRAP1, ARH	low density lipoprotein receptor adapter protein 1	ko04144  Endocytosis	
K12475	DAB2	disabled homolog 2	ko04144  Endocytosis	
K12476	EHD3	EH domain-containing protein 3	ko04144  Endocytosis	
K12477	EHD4	EH domain-containing protein 4	ko04144  Endocytosis	
K12478	EEA1	early endosome antigen 1	ko04144  Endocytosis	
K12479	VPS45	vacuolar protein sorting-associated protein 45	ko04138  Autophagy - yeast	
K12480	RABEP1	Rab GTPase-binding effector protein 1	ko04144  Endocytosis	
K12481	RBSN, ZFYVE20	rabenosyn-5	ko04144  Endocytosis	
K12482	RUFY1, RABIP4	RUN and FYVE domain-containing protein 1	ko04144  Endocytosis	
K12483	EHD1	EH domain-containing protein 1	ko04144  Endocytosis	
K12484	RAB11FIP1_2_5	Rab11 family-interacting protein 1/2/5	ko04144  Endocytosis	
K12485	RAB11FIP3_4	Rab11 family-interacting protein 3/4	ko04144  Endocytosis	
K12486	SMAP	stromal membrane-associated protein	ko04144  Endocytosis	
K12487	GIT2	G protein-coupled receptor kinase interactor 2	ko04144  Endocytosis	
K12488	ASAP	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein	ko04144  Endocytosis	
K12489	ACAP	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein	ko04144  Endocytosis	
K12490	ARAP3	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3	ko04015  Rap1 signaling pathway	
K12491	AGAP1_3	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1/3	ko04144  Endocytosis	
K12492	ARFGAP1	ADP-ribosylation factor GTPase-activating protein 1	ko04144  Endocytosis	
K12493	ARFGAP2_3	ADP-ribosylation factor GTPase-activating protein 2/3	ko04144  Endocytosis	
K12494	PSD	PH and SEC7 domain-containing protein	ko04144  Endocytosis	
K12495	IQSEC	IQ motif and SEC7 domain-containing protein	ko04144  Endocytosis	
K12496	EGR2	early growth response protein 2	ko05161  Hepatitis B	
K12497	EGR3	early growth response protein 3	ko05161  Hepatitis B	
K12498	EGR4	early growth response protein 4		
K12499	CCL5	C-C motif chemokine 5	ko04060  Cytokine-cytokine receptor interaction	
K12500	tesC	thioesterase III [EC:3.1.2.-]		
K12501	HST	homogentisate solanesyltransferase [EC:2.5.1.117]	ko00130  Ubiquinone and other terpenoid-quinone biosynthesis	
K12502	VTE3, APG1	MPBQ/MSBQ methyltransferase [EC:2.1.1.295]	ko00130  Ubiquinone and other terpenoid-quinone biosynthesis	M00112  Tocopherol/tocotorienol biosynthesis
K12503	E2.5.1.68	short-chain Z-isoprenyl diphosphate synthase [EC:2.5.1.68]	ko00900  Terpenoid backbone biosynthesis	
K12504	PDSS1	decaprenyl-diphosphate synthase subunit 1 [EC:2.5.1.91]	ko00900  Terpenoid backbone biosynthesis	
K12505	PDSS2	decaprenyl-diphosphate synthase subunit 2 [EC:2.5.1.91]	ko00900  Terpenoid backbone biosynthesis	
K12506	ispDF	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]	ko00900  Terpenoid backbone biosynthesis	M00096  C5 isoprenoid biosynthesis, non-mevalonate pathway
K12507	fadK	acyl-CoA synthetase [EC:6.2.1.-]		
K12508	fcs	feruloyl-CoA synthase [EC:6.2.1.34]		
K12509	rcpB	pilus assembly protein RcpB	ko01110  Biosynthesis of secondary metabolites	
K12510	tadB	tight adherence protein B		
K12511	tadC	tight adherence protein C		
K12512	tadD	tight adherence protein D		
K12513	tadE	tight adherence protein E		
K12514	tadF	tight adherence protein F		
K12515	tadG	tight adherence protein G		
K12516	bigA	putative surface-exposed virulence protein		
K12517	papA	major pilin subunit PapA		
K12518	papC	outer membrane usher protein PapC		
K12519	papD	chaperone protein PapD		
K12520	papE	minor pilin subunit PapE		
K12521	papF	minor pilin subunit PapF		
K12522	papG	adhesin PapG		
K12523	papK	minor pilin subunit PapK		
K12524	thrA	bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]	ko00260  Glycine, serine and threonine metabolism	M00016  Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K12525	metL	bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3]	ko00260  Glycine, serine and threonine metabolism	M00016  Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K12526	lysAC	bifunctional diaminopimelate decarboxylase / aspartate kinase [EC:4.1.1.20 2.7.2.4]	ko00260  Glycine, serine and threonine metabolism	M00016  Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
K12527	ygfK	putative selenate reductase [EC:1.97.1.9]	ko00450  Selenocompound metabolism	
K12528	xdhD	putative selenate reductase molybdopterin-binding subunit	ko00450  Selenocompound metabolism	
K12529	ygfM	putative selenate reductase FAD-binding subunit	ko00450  Selenocompound metabolism	
K12530	rtxB, fitA	ATP-binding cassette, subfamily B, bacterial RtxB	ko02020  Two-component system	M00326  RTX toxin transport system
K12531	rtxE, fitC	ATP-binding cassette, subfamily B, bacterial RtxE	ko02020  Two-component system	M00326  RTX toxin transport system
K12532	rtxD, fitB	membrane fusion protein, RTX toxin transport system	ko02020  Two-component system	M00326  RTX toxin transport system
